line;model;Demanda (UDS/SEM);Capacidad (UDS/SEM);Saturación (%);Déficit (UDS/SEM);bottleneck;Demanda (UDS/AÑO);Capacidad (UDS/AÑO);Demanda (h/SEM);Capacidad (h/SEM);Demanda (h/AÑO);Capacidad (h/AÑO)
LINE_A;PT0189;6;945.054.945.054.945;6.348.837.209.302.320;0;PTBI;300;4.725.274.725.274.720;9.611.999.999.999.990;15.139.780.219.780.200;48060;7.569.890.109.890.100
LINE_B;PT0189;8;945.054.945.054.945;8.465.116.279.069.760;0;PTBI;400;4.725.274.725.274.720;1281.6;15.139.780.219.780.200;6.407.999.999.999.990;7.569.890.109.890.100
LINE_C;AAA;0;4.3;0;0;ML;0;215;0;258;0;12900
LINE_D;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_E;PT0189;0;0.33076923076923076;0;0;PACK;0;16.538.461.538.461.500;0;52.989.230.769.230.700;0;2.649.461.538.461.530
LINE_F;PT0193;0;0;0;0;;0;0;0;0;0;0
LINE_G;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_H;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_I;AAA;0;4.3;0;0;ML;0;215;0;258;0;12900
TOTAL;;14;29.981.868.131.868.100;;;;700;14.990.934.065.934.000;22.427.999.999.999.900;3.964.380.274.725.270;112140;1.982.190.137.362.630
