line;model;Demanda (UDS/SEM);Capacidad (UDS/SEM);Saturación (%);Déficit (UDS/SEM);bottleneck;Demanda (UDS/AÑO);Capacidad (UDS/AÑO);Demanda (h/SEM);Capacidad (h/SEM);Demanda (h/AÑO);Capacidad (h/AÑO)
LINE_A;PT0189;6;945.054.945.054.945;6.348.837.209.302.320;0;PTBI;300;4.725.274.725.274.720;9.611.999.999.999.990;15.139.780.219.780.200;48060;7.569.890.109.890.100
LINE_B;PT0189;8;945.054.945.054.945;8.465.116.279.069.760;0;PTBI;400;4.725.274.725.274.720;1281.6;15.139.780.219.780.200;6.407.999.999.999.990;7.569.890.109.890.100
LINE_C;TF900;0;6.45;0;0;PACK;0;322.5;0;1.436.415;0;71820.75
LINE_D;PT0193;0;0;0;0;;0;0;0;0;0;0
LINE_E;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_F;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_G;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_H;PT0163;0;0.7166666666666667;0;0;PACK;0;35.833.333.333.333.300;0;12.247.833.333.333.300;0;6.123.916.666.666.660
LINE_I;AAA;0;4.3;0;0;ML;0;215;0;258;0;12900
TOTAL;;14;32.517.765.567.765.500;;;;700;16.258.882.783.882.700;22.427.999.999.999.900;5.212.284.377.289.370;112140;26.061.421.886.446.800
